number,title,purpose,inputs,outputs,category,platform
25,استخراج إجراء متكرر من عمل أنجزته,إجراء مكتوبا قابلا للتسليم أو للأتمتة.,ما فعلته | ما نجح وما تعثّر | من سيكرره,إجراء تشغيل قياسي، مع تحديد ما يُؤتمت وما يبقى بشريا.,الوكيل والمهام المنجزة,CHATGPT
26,مهمة رصد أسبوعية لا تنتج ضجيجا,تقريرا دوريا قصيرا يعلن صراحة حين لا يوجد جديد.,الموضوع | التكرار | ما يستحق انتباهك,تقرير دوري قصير، أو إعلان صريح بأنه لا جديد.,المهام المجدولة,CHATGPT
27,تذكير بمراجعة دورية لا بمهمة,تذكيرا يطرح أسئلة مراجعة لا يطلب تنفيذا.,موضوع المراجعة | التكرار | أسئلتك الثابتة,جلسة أسئلة قصيرة تنتهي ببند عمل واحد.,المهام المجدولة,CHATGPT
28,ملخص يومي مبني على أولوياتك,ثلاثة بنود مرتبطة بأولوياتك المعلنة، لا ملخصا عاما.,أولوياتك الحالية | وقت التشغيل | مصادر المتابعة,ثلاثة بنود مرتبطة بأولوياتك وسؤال تفكير واحد.,المهام المجدولة,CHATGPT
29,متابعة التزام حددته لنفسك,متابعة تسأل عن التقدم وتواجه التعثر بلا مجاملة.,الالتزام | المؤشر | التكرار,متابعة رقمية تواجه التعثر المتكرر وتقترح تعديلا واحدا.,المهام المجدولة,CHATGPT
30,تنظيف دوري لمساحة عملك الرقمية,قائمة تنظيف مرتبة بالأثر مع قرار لكل عنصر.,ما تراكم عندك | ما تستخدمه فعلا | التكرار,قائمة تنظيف بقرار لكل عنصر، وملاحظة عن سبب التراكم.,المهام المجدولة,CHATGPT
31,جلسة استرجاع نشط بلا مصدر,جلسة تكشف الفرق بين ما تعرفه وما تظن أنك تعرفه.,الموضوع | ما درسته | المستوى,جلسة استرجاع تنتهي بتحديد الفجوة الأكبر.,الدراسة والتعلم,CHATGPT
32,تفكيك سؤال امتحان إلى مهارات,تفكيكا للمهارات التي يتطلبها السؤال، مع تحديد الحلقة المفقودة.,السؤال | محاولتك | أين تعثرت,تشخيص للمهارة الناقصة، وتمرين موجّه لها وحدها.,الدراسة والتعلم,CHATGPT
33,بناء خريطة مفاهيم لمادة,خريطة تربط المفاهيم بعلاقات مسماة لا قائمة مواضيع.,المادة أو المنهج | مستواك | الهدف من المادة,خريطة علاقات مسماة، وترتيب تعلم مبرر.,الدراسة والتعلم,CHATGPT
34,شرح بمستوى من يشرح لغيره,تدريبا على الشرح مع تصحيح لطريقة شرحك لا لمعلوماتك فقط.,الموضوع | الجمهور المتخيَّل | شرحك,نقد لطريقة شرحك، وحكم على جاهزيتك للتعليم.,الدراسة والتعلم,CHATGPT
35,تحويل ملاحظات فوضوية إلى مادة مراجعة,مادة مراجعة منظمة، مع تحديد ما ينقص ملاحظاتك.,الملاحظات | نوع الامتحان | ما تنساه عادة,مادة مراجعة منظمة، وقائمة فجوات، وعشرة أسئلة.,الدراسة والتعلم,CHATGPT
36,قراءة رسم بياني والحكم على صدقه,قراءة للرسم مع كشف ما قد يكون مضللا فيه.,صورة الرسم | أين رأيته | ما تريد استنتاجه,قراءة دقيقة، وقائمة بأوجه التضليل المحتملة، وحكم على الاستنتاج.,الصور والمرئيات,CHATGPT
37,تحويل واجهة مصوّرة إلى مواصفات,مواصفات مكتوبة قابلة للتنفيذ من صورة.,لقطة الشاشة | ما تريد بناءه | المنصة,مواصفات بستة أقسام، مع قائمة بما يحتاج قرارك.,الصور والمرئيات,CHATGPT
38,توصيف صورة لتوليد صورة مشابهة,وصفا مفصلا لعناصر الأسلوب، لا للمحتوى.,الصورة المرجعية | ما تريد إنتاجه | الاستخدام,توصيف أسلوبي مفصل، ووصف توليد جاهز.,الصور والمرئيات,CHATGPT
39,مراجعة تصميم بصري قبل النشر,نقدا بصريا محددا بأولويات، لا رأيا عاما.,التصميم | أين سيُنشر | الرسالة المقصودة,نقد بصري مرتب بالأولوية مع إصلاحات محددة.,الصور والمرئيات,CHATGPT
40,شرح مخطط تقني معقد,شرحا يتتبع المسار خطوة بخطوة بدل وصف العناصر.,صورة المخطط | مستواك في المجال | ما تريد فهمه,شرح متدرج يتتبع مسارا كاملا، مع نقاط الفشل.,الصور والمرئيات,CHATGPT
41,استكشاف مستودع لا تعرفه,خريطة للمستودع تخبرك من أين تبدأ.,المستودع | ما ستفعله فيه | خبرتك بالتقنيات المستخدمة,خريطة من ستة أقسام تنتهي بقائمة قراءة مرتبة.,البرمجة و Codex,CHATGPT
42,تحويل خطأ متقطع إلى حالة قابلة للتكرار,خطة لجعل الخطأ يتكرر بثبات قبل محاولة إصلاحه.,وصف الخطأ | متى يظهر ومتى لا يظهر | ما جربته,خطة تجارب لعزل السبب وتثبيت التكرار.,البرمجة و Codex,CHATGPT
43,ترقية اعتمادية بأمان,خطة ترقية بخطوات قابلة للتراجع، لا أمر تحديث واحد.,المكتبة والإصداران | حجم استخدامها في المشروع | تغطية الاختبارات,خطة ترقية بخطوات قابلة للتراجع مع نقاط اختبار.,البرمجة و Codex,CHATGPT
44,توثيق كود بلا توثيق,توثيقا مستخرجا من الكود نفسه، مع تحديد ما يحتاج قرارك.,الوحدة أو المشروع | من سيقرأ التوثيق | ما هو موثق حاليا,توثيق عملي من ستة أقسام، وقائمة أسئلة عن قرارات التصميم.,البرمجة و Codex,CHATGPT
45,مراجعة طلب دمج بعين المراجع,مراجعة بمعايير مراجع حقيقي مرتبة بالأولوية.,التغييرات | سياق المشروع | معايير الفريق,مراجعة مرتبة بالخطورة، وقائمة بما يحتاج توضيحا في وصف الطلب.,البرمجة و Codex,CHATGPT
46,تحويل خبرتك إلى إنجازات قابلة للقياس,إنجازات مصاغة بالأثر والرقم بدل قائمة مهام.,ما فعلته في عملك | الأرقام إن وجدت | الوظيفة المستهدفة,إنجازات مصاغة بالأثر، وقائمة بما تحذفه وما نسيته.,العمل والمهنة,CHATGPT
47,الاستعداد لمقابلة بأسئلة متوقعة,أسئلة متوقعة مبنية على ملفك أنت، مع نقاط ضعفك المحتملة.,الوصف الوظيفي أو موضوع المناقشة | خلفيتك | ما تخشى سؤاله,أسئلة متوقعة بمنطقها، ثم جلسة تدريب فعلية.,العمل والمهنة,CHATGPT
48,صياغة طلب أو اعتذار مهني صعب,رسالة قصيرة واضحة، مع بدائل تترك للطرف الآخر خيارا.,الموقف | علاقتك بالطرف الآخر | أفضل نتيجة وأدناها,رسالة جاهزة، ونسخة أقصر منها.,العمل والمهنة,CHATGPT
49,بناء خطة تعلم مهنية لستة أشهر,خطة مرتبة بالأثر لا بالشهرة، مع معيار إتقان لكل بند.,هدفك المهني | ما تتقنه الآن | وقتك الأسبوعي,خطة ستة أشهر بمشاريع ومعايير إتقان.,العمل والمهنة,CHATGPT
50,تحليل عرض عمل بما يتجاوز الراتب,تحليلا للعرض على أبعاد يغفلها الحماس الأول.,تفاصيل العرض | وضعك الحالي | أولوياتك,تحليل متعدد الأبعاد، وأسئلة يجب طرحها قبل الرد.,العمل والمهنة,CHATGPT
51,تحويل خبرة شخصية إلى محتوى قابل للتعميم,زوايا محتوى مستخرجة من تجربتك، كل زاوية بدرس معمّم.,التجربة | ما تعلمته | جمهورك,خمس زوايا محتوى بدرس معمّم وتحفظات صريحة.,المحتوى والتسويق,CHATGPT
52,اختبار فكرة محتوى قبل إنتاجها,حكما على الفكرة بمعايير قابلة للفحص لا بالحدس.,الفكرة | جمهورك | ما نشرته سابقا,فحص من ستة أقسام وحكم صريح على الجدوى.,المحتوى والتسويق,CHATGPT
53,تفكيك محتوى ناجح لغيرك,تفكيكا للبنية والآليات، مع ما يصلح لك وما لا يصلح.,المحتوى | جمهورك أنت | ما تريد تعلمه منه,تفكيك بنيوي، وقائمة آليات قابلة للاستعارة.,المحتوى والتسويق,CHATGPT
54,بناء عرض قيمة لمنتج رقمي,عرض قيمة في جملة واحدة مدعومة بما يثبتها.,المنتج | الجمهور | البديل المتاح لهم,عرض قيمة من ستة أقسام بلا ادعاءات غير مدعومة.,المحتوى والتسويق,CHATGPT
55,تحليل تعليقات الجمهور واستخراج الطلب,تصنيفا يفصل ما يقوله الناس عما يحتاجونه.,التعليقات | ما تنتجه حاليا | ما تفكر في إنتاجه,تصنيف يفصل الطلب المعلن عن الحاجة الحقيقية.,المحتوى والتسويق,CHATGPT
56,اختيار بين مسارين بتكلفة التراجع,تحليلا يركز على قابلية التراجع لا على المزايا.,المساران | ما تعرفه | ما ستخسره إن أخطأت,تحليل قائم على قابلية التراجع، وتجربة صغيرة قبل الالتزام.,القرارات والإنتاجية,CHATGPT
57,تقدير جهد مهمة لم تفعلها من قبل,تقديرا بمدى لا برقم واحد، مع أسباب التجاوز.,المهمة | أقرب شيء فعلته سابقا | الموعد المطلوب,تقدير بثلاثة سيناريوهات وحكم على واقعية الموعد.,القرارات والإنتاجية,CHATGPT
58,تشخيص سبب التسويف في مهمة بعينها,تشخيصا لسبب التأجيل، وخطوة أولى تزيله.,المهمة | منذ متى تؤجلها | ما تشعر به تجاهها,سؤالان تشخيصيان، ثم خطوة أولى محددة بعشر دقائق.,القرارات والإنتاجية,CHATGPT
59,مراجعة أسبوع بمقارنة النية بالفعل,مقارنة بين ما خططت له وما حدث، بسبب واحد رئيسي.,خطة الأسبوع | ما أنجزته فعلا | أين ذهب وقتك,مراجعة من ستة أقسام تنتهي بتغيير واحد.,القرارات والإنتاجية,CHATGPT
60,بناء نظام شخصي لالتقاط الأفكار,نظاما بسيطا للالتقاط والمراجعة يناسب طريقتك أنت.,كيف تعمل الآن | أين تفقد الأفكار | أدواتك,نظام من خمسة عناصر مبني على أدواتك الحالية.,القرارات والإنتاجية,CHATGPT
