number,title,purpose,inputs,outputs,category,platform
15,فحص رقم قبل الاستشهاد به,تتبعا للرقم إلى مصدره الأولي، مع منهجية قياسه.,الرقم | أين رأيته | كيف ستستخدمه,تتبع للرقم بمنهجيته، أو إقرار بعدم إمكانية التحقق.,التحقق وتتبع المصادر,GROK
16,تقييم أداة قبل الاعتماد عليها,تقييما يشمل استمرارية الأداة لا ميزاتها فقط.,الأداة | ما ستعتمد عليها فيه | بدائلك,تقييم يشمل الاستمرارية وسهولة الخروج لا الميزات فقط.,البحث العميق للقرارات,GROK
17,مسح سوق قبل دخوله,صورة عن السوق: من فيه، وما الفجوات، وما مستوى الإشباع.,المجال | ما تنوي تقديمه | جمهورك,مسح سوق ينتهي بسبب بقاء الفجوة فارغة.,البحث العميق للقرارات,GROK
18,استطلاع رأي غير رسمي حول فكرة,أدلة على وجود الحاجة أو غيابها، من كلام الناس لا من تقديرك.,الفكرة | الجمهور | الحاجة المفترضة,أدلة على الحاجة أو غيابها، مع من فشل قبلك ولماذا.,البحث العميق للقرارات,GROK
19,تقصي سمعة جهة قبل التعامل معها,صورة عن سجل الجهة من مصادر مستقلة.,الجهة | طبيعة التعامل | ما يقلقك,صورة عن السجل مع تمييز النمط عن الحالة الفردية.,البحث العميق للقرارات,GROK
20,مقارنة خيارين بمعلومات السوق الحالية,مقارنة مبنية على الوضع الحالي لا على سمعة قديمة.,الخيارين | معاييرك | متى تقرر,مقارنة بمعلومات مؤرخة تكشف السمعة التي لم تعد دقيقة.,البحث العميق للقرارات,GROK
21,رصد تحرّك منافس,قائمة بتحركات موثقة، مع ما تدل عليه.,المنافس | الفترة | ما يهمك,تحركات موثقة مفصولة عن الاستنتاج.,المنافسون والسوق,GROK
22,تحليل تسعير السوق,نطاق أسعار حقيقي مع ما يبرر كل مستوى.,نوع المنتج | السوق | ما تقدمه,نطاق أسعار بأمثلة، وموضع عرضك فيه بسببه.,المنافسون والسوق,GROK
23,رصد فرصة من شكوى متكررة,شكاوى متكررة موثقة، مصنفة بحجمها وقابليتها للحل.,المجال | جمهورك | قدراتك,شكاوى مصنفة بقابلية الحل مع تحذير من الفخاخ.,المنافسون والسوق,GROK
24,تحليل سبب نجاح منافس,تحليلا للآليات القابلة للاستعارة والعوامل غير القابلة.,المنافس | مظهر النجاح | وضعك أنت,تحليل يفصل القابل للاستعارة عن غيره.,المنافسون والسوق,GROK
25,قياس اهتمام السوق بموضوع,مؤشرات على حجم الاهتمام واتجاهه، مع حدودها.,الموضوع | الجمهور | الفترة,مؤشرات موصوفة باتجاهها، مع إقرار صريح بحدود القياس.,المنافسون والسوق,GROK
26,تحويل حدث جارٍ إلى محتوى بلا تسرع,زوايا محتوى مبنية على ما ثبت، مع ما يجب انتظاره.,الحدث | جمهورك | زاويتك المبدئية,زوايا مبنية على المؤكد، وتحذير من الخطأ المتوقع.,المحتوى من اللحظة,GROK
27,استخراج زاوية من موضوع مشبع,زاوية غير مطروقة، أو حكما بأن الموضوع لا يستحق.,الموضوع | ما كُتب عنه | ما تعرفه أنت,زوايا غير مطروقة أو حكم صريح بعدم الجدوى.,المحتوى من اللحظة,GROK
28,بناء سلسلة متابعة لحدث ممتد,خطة سلسلة بمحطات مرتبطة بتطورات متوقعة.,الحدث | التطورات المتوقعة | جمهورك,خطة سلسلة بمحطات، ومعيار توقف.,المحتوى من اللحظة,GROK
29,توليد أفكار محتوى من أسئلة حقيقية,أفكارا مشتقة من أسئلة حقيقية يطرحها الناس.,مجالك | جمهورك | ما أنتجته سابقا,أفكار مشتقة من طلب حقيقي، مع ما تتجاهله.,المحتوى من اللحظة,GROK
30,قياس صدى محتوى نشرته,صورة عن الصدى الحقيقي: من نقله، وبأي صياغة، وماذا أضاف.,المحتوى | متى نُشر | ما تريد معرفته,صورة عن الصدى الحقيقي وما يحتاج توضيحا في محتواك القادم.,المحتوى من اللحظة,GROK
31,وصف بصري بستة أبعاد,وصفا يحدد التكوين والإضاءة واللون والعمق والزاوية والمزاج.,الموضوع | الاستخدام | النسبة,صورة مضبوطة على ستة أبعاد بدل نتيجة عشوائية.,الصور,GROK
32,تكرار أسلوب صورة على موضوع جديد,وصفا يفصل الأسلوب عن المحتوى ليتكرر بثبات.,الصورة المرجعية | الموضوع الجديد | عدد الصور,وصف أسلوب ثابت وأوصاف محتوى متغيرة.,الصور,GROK
33,تصحيح صورة مولّدة لم تنجح,تشخيصا لسبب الفشل، وتعديلا محددا في الوصف.,الوصف الذي استخدمته | ما خرج | الفرق عن المطلوب,تشخيص للسبب ووصف معدّل بتغيير واحد محدد.,الصور,GROK
34,صورة مبنية على مرجع بصري,توجيها يستخدم المرجع في ما يجيده ويترك الباقي.,الصورة المرجعية | ما تريد الاحتفاظ به | ما تريد تغييره,توجيه يحدد ما يؤخذ من المرجع وما يُترك.,الصور,GROK
35,توليد صور لمقارنة بصرية,أوصافا متطابقة تختلف في عنصر واحد، ليصح التشبيه.,المشهد الأساسي | المتغير الوحيد | عدد الصور,أوصاف متطابقة عدا متغير واحد، وطريقة عرض عادلة.,الصور,GROK
36,من صورة ثابتة إلى مقطع متحرك,توجيه حركة محددا يحافظ على التكوين الذي رضيت عنه.,الصورة | الحركة المطلوبة | المدة,توجيه حركة محدد مع تحذير من مواضع التشوّه.,الفيديو,GROK
37,سيناريو مقطع قصير من نص موجود,سيناريو بمشاهد وتوقيت، مبني على المادة لا مكرر لها.,النص | المدة | المنصة,جدول سيناريو بمشاهد قابلة للإنتاج.,الفيديو,GROK
38,سلسلة مقاطع بهوية بصرية واحدة,دليل هوية بصرية للمقاطع، وأوصافا تلتزم به.,الموضوع العام | عدد المقاطع | الهوية المطلوبة,دليل هوية وأوصاف ملتزمة به لكل مقطع.,الفيديو,GROK
39,تحويل بيانات إلى مشهد بصري,فكرة بصرية تعبّر عن البيانات بلا تضليل.,البيانات | الرسالة | المدة,فكرة بصرية أمينة، أو تحذير بأن البيانات لا تدعم الرسالة.,الفيديو,GROK
40,تصميم الطبقة الصوتية لمشهد مولّد,وصفا للصوت مرتبطا بكل مشهد: ما يُسمع ومتى ومن أي اتجاه.,وصف المشهد | الإحساس المطلوب | المدة,وصف موحّد للصورة والصوت مع توقيت كل عنصر صوتي.,الفيديو,GROK
41,تدريب على شرح شفهي,جلسة تدريب صوتية بملاحظات على شرحك.,الموضوع | الجمهور | المدة,ملاحظات على شرحك الشفهي، ثم سؤال تدريبي.,الصوت,GROK
42,التفكير بصوت عال في مشكلة,محاورة توضّح تفكيرك بالأسئلة لا بالإجابات.,المشكلة | ما جربته | ما يحيرك,محاورة سقراطية تنتهي بملخص وما أغفلته.,الصوت,GROK
43,مراجعة مادة أثناء التنقل,جلسة مراجعة صوتية قصيرة بأسئلة وأجوبة.,المادة | المدة المتاحة | مستواك,جلسة أسئلة قصيرة تنتهي بنقطة مراجعة واحدة.,الصوت,GROK
44,تحويل تسجيل إلى مادة مكتوبة,نصا منظما يفصل الأفكار عن الحشو الشفهي.,التسجيل أو نصه | الغرض | الجمهور,نص منظم مع تمييز ما أُضيف للربط.,الصوت,GROK
45,تدريب على محادثة بلغة أجنبية,محادثة موجّهة بتصحيح فوري ومركّز.,اللغة | مستواك | الموقف,محادثة بتصحيح مركّز، تنتهي بثلاثة أخطاء متكررة.,الصوت,GROK
46,فحص حالة مكتبة قبل استخدامها,حكما على صيانة المكتبة ومخاطرها لا على ميزاتها.,المكتبة | ما ستستخدمها فيه | بدائلها,حكم على استمرارية المكتبة لا على ميزاتها.,العمل التقني,GROK
47,بحث عن حل لمشكلة تقنية نادرة,حلولا مجرّبة من نقاشات حقيقية، مع تقييم كل واحد.,رسالة الخطأ | البيئة | ما جربته,حلول مرتبة بالموثوقية مع تحذير من الحلول السطحية.,العمل التقني,GROK
48,متابعة تغييرات كاسرة في تقنية تستخدمها,قائمة تغييرات كاسرة قادمة أو حديثة تخص إصدارك.,التقنية والإصدار | ما تستخدمه منها | الفترة,قائمة تغييرات تخص إصدارك مع حكم على عجلة الترقية.,العمل التقني,GROK
49,تقييم نمط معماري بتجارب الآخرين,تجارب حقيقية مع النمط: أين نجح وأين ندم أصحابه.,النمط | حجم مشروعك | ما تتوقعه منه,تقييم بتجارب حقيقية وحكم صريح على ملاءمته لحجمك.,العمل التقني,GROK
50,تحضير سؤال تقني قبل طرحه على مجتمع,سؤالا مكتملا يزيد فرصة الإجابة، بعد التأكد أنه لم يُطرح.,مشكلتك | ما جربته | بيئتك,سؤال مكتمل، أو إجابة موجودة سلفا توفر عليك طرحه.,العمل التقني,GROK
51,تصميم روتين متابعة دوري,روتينا محددا بمحفّز ومخرج ومعيار توقف.,ما تريد متابعته | التكرار | ما ستفعله بالنتيجة,روتين محدد بمحفّز ومخرج ومعيار إيقاف.,الأتمتة والزملاء الرقميين,GROK
52,تسليم مهمة متكررة لزميل رقمي,تكليفا مكتوبا كما تكتبه لموظف جديد، بحدود وصلاحيات.,المهمة | ما تحتاجه من صلاحيات | معيار النجاح,تكليف بحدود وصلاحيات دنيا وطريقة مراجعة.,الأتمتة والزملاء الرقميين,GROK
53,تقسيم مهمة على وكلاء متوازيين,تقسيما يحدد ما يمكن توازيه وما لا يمكن.,المهمة | المخرج النهائي | الوقت,خطة توازي تحدد ما يُقسّم وما يبقى متسلسلا.,الأتمتة والزملاء الرقميين,GROK
54,مراجعة عمل نظام آلي بشكل دوري,مراجعة تكشف الانحراف الصامت في الأتمتة.,الأتمتة | مدة التشغيل | المخرجات الأخيرة,مراجعة تنتهي بقرار: تستمر، أو تُعدَّل، أو تتوقف.,الأتمتة والزملاء الرقميين,GROK
55,بناء قائمة تحقق آلية لعمل متكرر,قائمة تحقق مبنية على أخطائك أنت لا على قائمة عامة.,العمل المتكرر | الأخطاء التي وقعت | من ينفذه,قائمة تحقق قصيرة مبنية على أخطاء حقيقية.,الأتمتة والزملاء الرقميين,GROK
56,بناء مسار تعلم من مصادر حديثة,مسار تعلم من مصادر حية مرتبة، مع تحذير من القديم.,الموضوع | مستواك | وقتك,مسار بمصادر مؤرخة، مع فصل الثابت عن المتغير.,التعلم والتحليل الشخصي,GROK
57,تحديث معرفة قديمة في مجالك,قائمة بما بطل من معرفتك، وما حلّ محله.,ما تعرفه | متى تعلمته | مجالك,قائمة تحديث دقيقة بما بطل وما حلّ محله.,التعلم والتحليل الشخصي,GROK
58,تحليل قرار سابق بمعلومات اليوم,تحليلا يفصل جودة القرار عن جودة نتيجته.,القرار | سياقه وقتها | نتيجته,تحليل يفصل جودة القرار عن حظ النتيجة، وقاعدة مستخرجة.,التعلم والتحليل الشخصي,GROK
59,كشف فجوة بين ما تتابعه وما تحتاجه,مقارنة بين ما تستهلكه وما يخدم أهدافك فعلا.,ما تتابعه | أهدافك | وقتك,قائمة متابعة مقلّصة مرتبطة بأهدافك.,التعلم والتحليل الشخصي,GROK
60,بناء نظام تحقق شخصي قبل النشر,بروتوكول تحقق شخصيا مبنيا على أخطائك أنت.,ما نشرته وكان خاطئا | نوع المحتوى | جمهورك,بروتوكول قصير مبني على أخطائك، وخطة تصحيح.,التعلم والتحليل الشخصي,GROK
