number,title,purpose,inputs,outputs,category,platform
34,تقرير حالة من ملاحظات خام,تقريرا يفصل التقدم عن العوائق عن الطلبات.,ملاحظاتك الخام | من سيقرأ التقرير | الخطة الأصلية,تقرير من ستة أقسام جاهز للإرسال.,التخطيط والمشاريع,CLAUDE
35,مراجعة ما بعد المشروع,دروسا قابلة للتطبيق، لا انطباعات عامة.,ما حدث فعلا | ما كان مخططا | الأرقام النهائية,خمسة أقسام تنتهي بثلاث قواعد عملية.,التخطيط والمشاريع,CLAUDE
36,عرض قيمة من ملف العميل,عرضا مبنيا على وضعه هو، مع اعتراضاته المتوقعة.,معلومات العميل | خدمتك | ما تعرفه عن مشكلته,عرض من ستة أقسام مبني على وضع العميل مع ردود جاهزة.,الأعمال والعملاء,CLAUDE
37,رسالة تفاوض أو اعتراض,رسالة واضحة وحازمة ومحترمة، مع بدائل.,الموقف | علاقتك بالطرف الآخر | أفضل نتيجة وأدنى نتيجة مقبولة,رسالة جاهزة للإرسال بستة أقسام.,الأعمال والعملاء,CLAUDE
38,تسعير خدمة بمنطق مبرر,نطاق سعر مبنيا على أسس واضحة، مع طريقة عرضه.,وصف الخدمة | الوقت والتكاليف | طبيعة العميل,نطاقات سعر بحسابات وثلاثة مستويات عرض.,الأعمال والعملاء,CLAUDE
39,رد على عميل غاضب,ردا يعالج المشكلة دون اعتراف بما لم يثبت.,نص الشكوى | ما حدث فعلا | ما تستطيع تقديمه,رد قصير مهني، وملاحظة داخلية للتحسين.,الأعمال والعملاء,CLAUDE
40,تشريح منافس من مواده العلنية,تحليلا لما يفعله المنافس ولماذا، وأين الفجوة.,المنافس ومواده العلنية | منتجك | جمهورك,تحليل من ستة أقسام يفصل المذكور عن المستنتج.,الأعمال والعملاء,CLAUDE
41,شرح كود لا تفهمه,شرحا بمستوى تدفقي ثم سطري، مع الافتراضات المخفية.,الكود | لغة البرمجة | ما تحتاج فعله به,شرح من ستة أقسام ينتهي بما تحتاج معرفته قبل التعديل.,البرمجة ومراجعة الكود,CLAUDE
42,تشخيص خطأ برمجي,فرضيات مرتبة باحتمالها، مع اختبار لكل فرضية.,رسالة الخطأ كاملة | الكود المحيط | ما جربته,فرضيات مرتبة مع اختبارات سريعة لكل واحدة.,البرمجة ومراجعة الكود,CLAUDE
43,فحص أمني لكود قبل النشر,جدول ثغرات باستغلالها المحتمل وإصلاحها البرمجي.,الكود | طبيعة البيانات | من يستخدم النظام,جدول ثغرات مرتب بالخطورة مع إصلاحات محددة.,البرمجة ومراجعة الكود,CLAUDE
44,تصميم حالات اختبار,قائمة حالات اختبار تشمل الحدود والفشل، لا الحالة السعيدة فقط.,الدالة أو الوحدة | السلوك المتوقع | إطار الاختبار,جدول حالات ثم كود اختبارات جاهز للتشغيل.,البرمجة ومراجعة الكود,CLAUDE
45,مقارنة حلين تقنيين,مقارنة على معايير مشروعك، مع تكلفة التراجع لكل خيار.,الخيارين | متطلبات المشروع | خبرة الفريق,جدول مقارنة وتوصية مشروطة وقائمة تحقق قبل الالتزام.,البرمجة ومراجعة الكود,CLAUDE
46,فحص جودة البيانات قبل التحليل,تقرير جودة يحدد ما يصلح للتحليل وما لا يصلح.,ملف البيانات | مصدرها | ما ستحلله,تقرير جودة بحكم واضح على صلاحية البيانات.,تحليل البيانات,CLAUDE
47,استخراج ملاحظات من جدول,ملاحظات مدعومة بأرقام من البيانات نفسها، مع حدودها.,البيانات | سؤال العمل | ما تعرفه عن السياق,خمس ملاحظات محسوبة مع حدودها الصريحة.,تحليل البيانات,CLAUDE
48,اختيار الرسم البياني المناسب,توصية بنوع الرسم مع سبب، وتحذيرات من العرض المضلل.,وصف البيانات | الرسالة التي تريد إيصالها | الجمهور,توصية مبررة مع تفاصيل تنفيذ وتحذيرات تضليل.,تحليل البيانات,CLAUDE
49,تفسير نتيجة رقمية بحذر,تفسيرا يذكر التفسيرات البديلة قبل التفسير المريح.,النتيجة | طريقة الحساب | حجم العينة والفترة,تفسير محافظ يحدد ما تدعمه النتيجة وما لا تدعمه.,تحليل البيانات,CLAUDE
50,بناء أسئلة تحليلية من هدف عمل,أسئلة قابلة للحساب بالبيانات المتاحة، مرتبة بالأولوية.,هدف العمل | البيانات المتاحة | القرار المرتبط,ستة أسئلة قابلة للحساب مرتبة، وقائمة بالبيانات الناقصة.,تحليل البيانات,CLAUDE
51,من فكرة إلى مخطط منتج,مخططا كاملا: لمن، وما الوعد، وما المحتوى، وما حجمه.,الفكرة | الجمهور | خبرتك في المجال,مخطط من سبعة أقسام مع فهرس تفصيلي وحجم مبرر.,المنتجات الرقمية,CLAUDE
52,صفحة بيع من مزايا المنتج,صفحة بيع مبنية على النتائج مع معالجة الاعتراضات.,محتوى المنتج | الجمهور | السعر,صفحة بيع من سبعة أقسام بلا ادعاءات غير مدعومة.,المنتجات الرقمية,CLAUDE
53,تسمية منتج وتحديد وعده,خيارات أسماء بمنطق مختلف، مع اختبار عملي لكل اسم.,وصف المنتج | الجمهور | أسماء منافسة,ثمانية أسماء مصنفة، وثلاثة مرشحة مع اختبار لكل منها.,المنتجات الرقمية,CLAUDE
54,خارطة طريق إصدارات,خارطة إصدارات مرتبة بالقيمة مقابل الجهد.,المنتج الحالي | ملاحظات المستخدمين | وقتك المتاح,خارطة ثلاثة إصدارات بمواضيع محددة وقائمة رفض مبررة.,المنتجات الرقمية,CLAUDE
55,تصنيف ملاحظات المستخدمين,تصنيفا يفصل المشكلة الحقيقية عن الحل الذي اقترحه المستخدم.,الملاحظات الخام | المنتج | قيودك,تصنيف يرتب المشكلات الحقيقية بالأثر لا بصوت من اشتكى.,المنتجات الرقمية,CLAUDE
56,ترتيب أولويات أسبوع مزدحم,خطة تحدد ما يُنجز وما يُؤجل وما يُحذف صراحة.,قائمة المهام | الوقت المتاح | المواعيد الثابتة,خطة يومية بقرارات تأجيل وحذف صريحة.,الإنتاجية والعمل الشخصي,CLAUDE
57,تحويل اجتماع إلى قرارات ومهام,محضرا يفصل القرار عن النقاش عن المهمة.,ملاحظات الاجتماع | الحضور | هدف الاجتماع,محضر من ستة أقسام تستطيع إرساله للحضور مباشرة.,الإنتاجية والعمل الشخصي,CLAUDE
58,بناء إجراء تشغيل قياسي,إجراء مكتوبا ينفّذه غيرك دون أن يسألك.,وصف العملية | من سينفذها | الأخطاء التي تتكرر,إجراء من سبعة أقسام قابل للتسليم لشخص جديد.,الإنتاجية والعمل الشخصي,CLAUDE
59,مراجعة نهاية الأسبوع,مراجعة قصيرة تنتهي بتغيير واحد قابل للتنفيذ.,ما أنجزته | ما خططت له | أين ضاع وقتك,مراجعة من ستة أقسام تنتهي بتغيير واحد.,الإنتاجية والعمل الشخصي,CLAUDE
60,بناء مكتبة برومبتات شخصية,بنية مكتبة قابلة للنمو، مع قواعد صيانة.,طلباتك الناجحة | مهامك المتكررة | أدواتك,بنية مكتبة بتصنيف شخصي وقالب توثيق وقاعدة صيانة.,الإنتاجية والعمل الشخصي,CLAUDE
